"","AAPL.Close"
"2021-01-04",1
"2021-01-05",1.01236373503242
"2021-01-06",0.978286021844185
"2021-01-07",1.01166829420699
"2021-01-08",1.02040026982767
"2021-01-11",0.99667716570042
"2021-01-12",0.995286291776948
"2021-01-13",1.01143648059852
"2021-01-14",0.996136311069119
"2021-01-15",0.982458813616913
"2021-01-19",0.987790727523662
"2021-01-20",1.02024569136092
"2021-01-21",1.05764616930234
"2021-01-22",1.07464649332674
"2021-01-25",1.10439682854812
"2021-01-26",1.10625144559921
"2021-01-27",1.09775128358701
"2021-01-28",1.0593462001593
"2021-01-29",1.01970483672962
"2021-02-01",1.03655045864924
"2021-02-02",1.043118776196
"2021-02-03",1.03500500625902
"2021-02-04",1.06166443669996
"2021-02-05",1.05679615773754
"2021-02-08",1.05795533396321
"2021-02-09",1.05100062434122
"2021-02-10",1.04620968097644
"2021-02-11",1.04420060909665
"2021-02-12",1.04605510250969
"2021-02-16",1.0292094728627
"2021-02-17",1.0110500885233
"2021-02-18",1.00231823654066
"2021-02-19",1.00355452427001
"2021-02-22",0.973649610581884
"2021-02-23",0.972567785408615
"2021-02-24",0.968626799516983
"2021-02-25",0.934935432039705
"2021-02-26",0.937021854971892
"2021-03-01",0.987481624681814
"2021-03-02",0.966849541245668
"2021-03-03",0.94320372635179
"2021-03-04",0.928289879351213
"2021-03-05",0.938258204520263
"2021-03-08",0.899157695721886
"2021-03-09",0.935708154371126
"2021-03-10",0.927130819036216
"2021-03-11",0.942430996292991
"2021-03-12",0.935244534881554
"2021-03-15",0.958117565624988
"2021-03-16",0.970326838101326
"2021-03-17",0.964067677488056
"2021-03-18",0.931380845950673
"2021-03-19",0.927208054177944
"2021-03-22",0.95348114663531
"2021-03-23",0.946912890907569
"2021-03-24",0.927980776509365
"2021-03-25",0.931844465440245
"2021-03-26",0.936635462896671
"2021-03-29",0.938026390911788
"2021-03-30",0.926512621079897
"2021-03-31",0.94389922126886
"2021-04-01",0.950467476996601
"2021-04-05",0.972876888250463
"2021-04-06",0.975272352205476
"2021-04-07",0.988331643973985
"2021-04-08",1.00734098578654
"2021-04-09",1.02774125561421
"2021-04-12",1.0141411092144
"2021-04-13",1.03879135186488
"2021-04-14",1.02024569136092
"2021-04-15",1.03933232240685
"2021-04-16",1.03670504484336
"2021-04-19",1.0403754797813
